location,code
1,GLOB
2,ABNJ
3,AF
4,AS
5,AT
6,EU
7,NA
8,SA
9,WA
10,AGO
11,ALB
12,ARE
13,ARG
14,ATA
15,ATG
16,AUS
17,AZE
18,BEL
19,BEN
20,BGD
21,BGR
22,BHR
23,BHS
24,BIH
25,BLZ
26,BRA
27,BRB
28,BRN
29,CAN
30,CHL
31,CHN
32,CIV
33,CMR
34,COD
35,COG
36,COL
37,COM
38,CPV
39,CRI
40,CUB
41,CYP
42,DEU
43,DJI
44,DMA
45,DNK
46,DOM
47,DZA
48,ECU
49,EGY
50,ERI
51,ESH
52,ESP
53,EST
54,FIN
55,FJI
56,FRA
57,FSM
58,GAB
59,GBR
60,GEO
61,GHA
62,GIB
63,GIN
64,GMB
65,GNB
66,GNQ
67,GRC
68,GRD
69,GTM
70,GUY
71,HND
72,HRV
73,HTI
74,IDN
75,IND
76,IRL
77,IRN
78,IRQ
79,ISL
80,ISR
81,ITA
82,JAM
83,JOR
84,JPN
85,KAZ
86,KEN
87,KHM
88,KIR
89,KNA
90,KOR
91,KWT
92,LBN
93,LBR
94,LBY
95,LCA
96,LKA
97,LTU
98,LVA
99,MAR
100,MCO
101,MDG
102,MDV
103,MEX
104,MHL
105,MLT
106,MMR
107,MNE
108,MOZ
109,MRT
110,MUS
111,MYS
112,NAM
113,NGA
114,NIC
115,NLD
116,NOR
117,NRU
118,NZL
119,OMN
120,PAK
121,PAN
122,PER
123,PHL
124,PLW
125,PNG
126,POL
127,PRK
128,PRT
129,PSE
130,QAT
131,ROU
132,RUS
133,SAU
134,SDN
135,SEN
136,SGP
137,SLB
138,SLE
139,SLV
140,SOM
141,STP
142,SUR
143,SVN
144,SWE
145,SYC
146,SYR
147,TGO
148,THA
149,TKM
150,TLS
151,TON
152,TTO
153,TUN
154,TUR
155,TUV
156,TWN
157,TZA
158,UKR
159,URY
160,USA
161,VCT
162,VEN
163,VNM
164,VUT
165,WSM
166,YEM
167,ZAF
